244ms
14ms
11ms
17ms
13ms
14ms
13ms
11ms
13ms
14ms
11ms
12ms
14ms
13ms
14ms
10ms
10ms
11ms
9ms
10ms
10ms
11ms
12ms
10ms
15ms
16ms
10ms
12ms
10ms
13ms
11ms
19ms
9ms
11ms
12ms
12ms
31ms
10ms
13ms
17ms
14ms
10ms
11ms
14ms
11ms
9ms
14ms
9ms
11ms
11ms
13ms
10ms
12ms
11ms
13ms
14ms
9ms
16ms
13ms
11ms
10ms
10ms
13ms
9ms
10ms
9ms
11ms
9ms
12ms
9ms
12ms
11ms
14ms
13ms
11ms
12ms
13ms
18ms
20ms
10ms
11ms
14ms
11ms
18ms
17ms
11ms
10ms
9ms
13ms
11ms
16ms
12ms
11ms
12ms
10ms
11ms
11ms
9ms
10ms
11ms
14ms
9ms
9ms
12ms
13ms
10ms
19ms
9ms
10ms
10ms
11ms
11ms
12ms
12ms
9ms
11ms
10ms
11ms
10ms
12ms
9ms
11ms
10ms
11ms
9ms
10ms
17ms
10ms
13ms
14ms
12ms
11ms
11ms
10ms
10ms
14ms
11ms
10ms
10ms
10ms
13ms
10ms
16ms
10ms
11ms
11ms
17ms
11ms
11ms
34ms
16ms
12ms
9ms
10ms
18ms
13ms
13ms
13ms
11ms
11ms
10ms
13ms
11ms
9ms
10ms
11ms
13ms
12ms
11ms
11ms
10ms
15ms
10ms
14ms
11ms
11ms
12ms
12ms
11ms
11ms
13ms
11ms
12ms
12ms
11ms
10ms
11ms
11ms
11ms
10ms
13ms
18ms
10ms
14ms
11ms
12ms
13ms
11ms
13ms
11ms
18ms
12ms
12ms
12ms
11ms
13ms
12ms
11ms
11ms
14ms
10ms
12ms
10ms
12ms
15ms
11ms
13ms
11ms
12ms
10ms
11ms
17ms
11ms
15ms
29ms
12ms
12ms
11ms
14ms
13ms
14ms
16ms
15ms
14ms
16ms
12ms
15ms
14ms
19ms
12ms
23ms
14ms
22ms
37ms
20ms
18ms
10ms
17ms
20ms
10ms
9ms
10ms
11ms
15ms
14ms
13ms
13ms
17ms
17ms
11ms
11ms
14ms
12ms
11ms
11ms
13ms
17ms
14ms
21ms
13ms
12ms
16ms
13ms
10ms
10ms
11ms
9ms
8ms
11ms
12ms
14ms
11ms
12ms
11ms
9ms
12ms
12ms
12ms
16ms
10ms
10ms
11ms
11ms
10ms
13ms
17ms
13ms
15ms
15ms
10ms
9ms
12ms
12ms
11ms
16ms
11ms
11ms
15ms
10ms
10ms
9ms
14ms
15ms
10ms
10ms
10ms
14ms
12ms
18ms
12ms
16ms
14ms
15ms
13ms
14ms
13ms
20ms
11ms
13ms
17ms
12ms
17ms
11ms
15ms
11ms
11ms
13ms
10ms
18ms
9ms
10ms
12ms
16ms
11ms
11ms
11ms
8ms
10ms
9ms
9ms
12ms
11ms
14ms
16ms
15ms
15ms
10ms
12ms
10ms
10ms
11ms
11ms
12ms
10ms
9ms
14ms
10ms
11ms
11ms
11ms
11ms
17ms
11ms
11ms
11ms
11ms
13ms
15ms
9ms
9ms
14ms
11ms
15ms
11ms
12ms
11ms
13ms
17ms
9ms
10ms
10ms
9ms
17ms
9ms
11ms
10ms
10ms
10ms
14ms
13ms
10ms
18ms
16ms
13ms
9ms
10ms
10ms
9ms
10ms
11ms
11ms
9ms
14ms
9ms
10ms
10ms
11ms
10ms
16ms
9ms
9ms
11ms
15ms
14ms
11ms
9ms
14ms
9ms
11ms
10ms
15ms
15ms
15ms
10ms
10ms
9ms
15ms
9ms
12ms
10ms
10ms
9ms
11ms
11ms
13ms
14ms
9ms
12ms
10ms
9ms
9ms
11ms
15ms
14ms
9ms
10ms
15ms
10ms
11ms
10ms
11ms
11ms
12ms
9ms
9ms
9ms
13ms
11ms
11ms
14ms
11ms
14ms
14ms
9ms
11ms
11ms
13ms
11ms
10ms
10ms
17ms
12ms
12ms
9ms
11ms
11ms
12ms
10ms
11ms
13ms
9ms
11ms
11ms
9ms
13ms
11ms
12ms
11ms
11ms
11ms
10ms
11ms
10ms
13ms
9ms
11ms
15ms
13ms
11ms
11ms
12ms
11ms
11ms
9ms
10ms
11ms
11ms
12ms
9ms
11ms
13ms
15ms
13ms
11ms
14ms
10ms
11ms
11ms
11ms
14ms
20ms
10ms
13ms
16ms
15ms
12ms
11ms
12ms
12ms
15ms
15ms
12ms
10ms
10ms
9ms
11ms
10ms
12ms
10ms
11ms
9ms
12ms
11ms
13ms
10ms
10ms
11ms
11ms
11ms
11ms
9ms
11ms
10ms
11ms
16ms
9ms
17ms
20ms
16ms
13ms
14ms
13ms
14ms
14ms
13ms
12ms
12ms
13ms
11ms
24ms
13ms
21ms
14ms
11ms
16ms
14ms
10ms
14ms
11ms
10ms
11ms
11ms
11ms
10ms
12ms
11ms
11ms
10ms
9ms
16ms
11ms
18ms
12ms
12ms
10ms
17ms
10ms
15ms
10ms
12ms
10ms
12ms
14ms
13ms
21ms
11ms
11ms
11ms
14ms
13ms
11ms
14ms
10ms
11ms
14ms
12ms
12ms
12ms
13ms
12ms
11ms
14ms
11ms
10ms
16ms
20ms
11ms
11ms
13ms
12ms
12ms
12ms
11ms
12ms
13ms
11ms
9ms
13ms
10ms
10ms
13ms
17ms
9ms
15ms
10ms
9ms
15ms
11ms
11ms
12ms
10ms
12ms
12ms
9ms
17ms
14ms
11ms
11ms
12ms
16ms
12ms
11ms
11ms
13ms
11ms
11ms
13ms
13ms
14ms
12ms
12ms
11ms
13ms
13ms
13ms
9ms
14ms
15ms
13ms
13ms
11ms
12ms
13ms
9ms
14ms
10ms
